X,Y,fid,X,Y,nr,naam punt,Deelgemeente,openbaar vervoer,AWV,OD of andere,Herkoms,Interregionaal,Tijdstip lancering eHUB,realistische timing,publieke fietsenstalling,publieke parking,Pakjesautomaat,Blue Bike,aantal deelwagens,aantal laadpalen,aantal e-deelwagens,type zuil,aantal deelwagens (Uitbr 2020),aantal e-deelwagens (uitbr 2020),aantal laadpalen (dossier 2020 - voorzien voor Q1 2021),aantal deelwagens (scenario2),aantal e-deelwagens (scenario2),e-deelfietsen Sept (30),e-deelfietsen Maart (35),e-deelfietsen Mei (40),e-deelfietsen Toekomst? (60),aantal deelfietsen,aantal e-deelfietsen (indien max 92 0),aantal e-deelfietsen (indien max 125),aantal e-deelfietsen (indien max 125) scenario 26 locaties,aantal e-deelfietsen (indien max 125) scenario 31 locaties,aantal e-deelbakfietsen,aantal pakjesautomaten,# fietsbeugels te voorzien,aantal e-hubs,EV capaciteit,stadsgezicht
172204.019713654,174634.87085446,"33",4.6842706,50.8816504,"33",Kaboutermansstraat,LEU,"1",,,S,L,mei/21,jun/21,,,,,"1",,"0",mini,"1","0","1","1","0",,,,,"0",,,,,"1",K,"1","0","0","0"
175253.476218063,174148.464821256,"34",4.7275691,50.8771532,"34",Korfbalclub,KLO,"1",,,S,L,mei/21,jun/21,,,,,"3","2","1",mini,"3","1","3","2","2",,,,,"0",,,,,"1",,"1","0","0","0"
172708.13528352,174213.674009364,"35",4.6914079,50.8778446,"35",Kruidtuin,LEU,"1",,,S,L,,jun/21,,,,,"6",,"0",mini,,,,,,,,,,,,,,,,,,,,
175002.232395018,173525.384378257,"36",4.7239569,50.871563,"36",Michottepark,HEV,"1",ja,,SB,L,jul/21,jun/21,,,,,"0",,"0",mini,"0","0",,"0","0",,,,,"0",,"4",,"4","1",K,,,,
173790.224943941,172278.594098086,"37",4.7066575,50.8604061,"37",Pakenhof,HEV,"1",,,S,L,mei/21,jun/21,,,,,"0","1","0",mini,"0","0","1","0","0",,,,,"0",,"4","5","4","1",K,"1","0","0",
173409.989947408,174819.158027427,"38",4.7014189,50.8832596,"38",Patattenmarkt,LEU,"0",,,S,B,jul/21,jun/21,,,,,"0",,"0",mini,"0","0","1","0","0",,,,,"0",,"3",,,"0",,"1","0","0","0"
174176.074227419,174095.992130188,"39",4.7122575,50.8767274,"39",Quinten Metsysplein,LEU,"0",,,S,B,mei/21,jun/21,,,,,"0",,"0",mini,"0","0","1","0","0",,,,,"0",,,,,"1",,"1","0","0","0"
172995.874430515,173596.380954145,"40",4.6954576,50.8722842,"40",Redingenstraat,LEU,"0",,,S,B,mei/21,jun/21,,,,,"2",,"0",mini,"2","0",,"2","0",,,,,"0",,,,,"1",,"1","0","0","0"
174945.389027828,179834.45536877,"41",4.7235785,50.9282794,"41",Zwembad Wilsele,WIL,"1",ja,,S,L,jul/21,jun/21,,,,,"0",,"0",mini,"0","0","1","0","0",,,,,"0",,"4","5","4","1",K,,"0","0","0"
174315.144777194,173767.626792036,"42",4.7142117,50.8737698,"42",Tiensepoort,LEU,"1",ja,,S,R,mei/21,jun/21,,,,,"5","2","1",medium,"5","1","2","5","1",,,,,"0",,"4","5","4","0",K,,"0","0","0"
