fid,UIDN,OIDN,CODSEC,NISCODE,SEC,SECNAAM,LENGTE,OPPERVL,STDEEL
"40","4133","4133","24062D290","24062",D290,HEVERLEE KAZERNE,4559.49,1021485.19,HEVERLEE OOST
"41","4134","4134","24062D310","24062",D310,DE JACHT,3817.25,611536.76,HEVERLEE WEST
"42","4138","4138","24062D512","24062",D512,BOOLEEG,3875.31,471147.44,HEVERLEE WEST
"43","4050","4050",24062A15-,"24062",A15-,KARDINAALSTRAAT,1360.1,107317.55,LEUVEN NOORD
"44","4051","4051",24062A17-,"24062",A17-,LEUVEN STATION,1805.98,99160.79,LEUVEN CENTRUM
"45","4052","4052",24062A20-,"24062",A20-,BONDGENOTENLAAN,2108.8,67718.54,LEUVEN CENTRUM
"46","4055","4055",24062A23-,"24062",A23-,LADEUZE,1389.19,76324.47,LEUVEN CENTRUM
"47","4056","4056",24062A30-,"24062",A30-,TIENSESTRAAT,1898.13,52237.86,LEUVEN ZUID
"48","4058","4058",24062A32-,"24062",A32-,KLEINE GEVANGENIS,2089.56,226972.58,LEUVEN ZUID
"49","4059","4059",24062A33-,"24062",A33-,BRABANCONNESTRAAT,1460.44,82740.52,LEUVEN ZUID
"50","4061","4061",24062A35-,"24062",A35-,VESALIUS,1817.73,115569.62,LEUVEN ZUID
"51","4062","4062",24062A36-,"24062",A36-,VAN EVEN,1534.78,100027.65,LEUVEN ZUID
"52","4064","4064",24062A41-,"24062",A41-,LEUVEN NAAMSESTRAAT-NOORD,1403.17,75478.69,LEUVEN ZUID
"53","4065","4065",24062A42-,"24062",A42-,LEUVEN NIEUW KWARTIER,2266.56,245299.78,LEUVEN ZUID
"54","4093","4093",24062C01-,"24062",C01-,CENTRALE WERKPLAATSEN,1185.87,85848.44,KESSEL-LO ZUID
"55","4151","4151","24062E774","24062",E774,HAASRODE INDUSTRIEZONE,7742.96,2371358.09,HEVERLEE OOST
"56","4152","4152","24062E790","24062",E790,DEN DUIVEL,6088.92,1134408.28,HEVERLEE OOST
"57","4067","4067",24062A44-,"24062",A44-,REDINGEN,1773.13,163351.99,LEUVEN ZUID
"58","4072","4072",24062A54-,"24062",A54-,NOORMANNEN,1722,178034.86,LEUVEN NOORD
"59","4073","4073",24062A55-,"24062",A55-,KEIZERSBERG,2454.03,253308.79,LEUVEN NOORD
"60","4075","4075",24062B00-,"24062",B00-,WILSELE-CENTRUM,2779.99,336211.93,WILSELE WIJGMAAL
"61","4076","4076",24062B08-,"24062",B08-,VAARTDIJK,4953.73,311626.57,WILSELE WIJGMAAL
"62","4077","4077",24062B091,"24062",B091,PUTHOF,5173.66,526548.56,WILSELE WIJGMAAL
"63","4080","4080",24062B122,"24062",B122,KWADE HOEK,3891.04,640997.81,WILSELE WIJGMAAL
"64","4081","4081",24062B132,"24062",B132,DRAAK,2824.43,266850.37,WILSELE WIJGMAAL
"65","4103","4103",24062C14-,"24062",C14-,RERUM NOVARUM,2444.92,197999.39,KESSEL-LO ZUID
"66","4105","4105",24062C2PA,"24062",C2PA,LOBERGEN,3322.87,508163.07,KESSEL-LO ZUID
"67","4106","4106",24062C32-,"24062",C32-,BENEDEN-LO,3933.32,787854.15,KESSEL-LO ZUID
"68","4107","4107",24062C39-,"24062",C39-,BOVEN-LO,4895.45,1017385.6,KESSEL-LO ZUID
"69","4109","4109",24062C41-,"24062",C41-,BELLE VUE,3326.5,547724.68,KESSEL-LO ZUID
"70","4068","4068",24062A50-,"24062",A50-,SINT-JACOBS,1251.92,86854.73,LEUVEN NOORD
"71","4069","4069",24062A51-,"24062",A51-,BRUUL,1783.51,163934.43,LEUVEN NOORD
"72","4070","4070",24062A52-,"24062",A52-,BANKSTRAAT,2608.85,258679.87,LEUVEN NOORD
"73","4071","4071",24062A53-,"24062",A53-,MANNENSTRAAT,1821.67,213902.96,LEUVEN NOORD
"74","4079","4079",24062B11-,"24062",B11-,NIEUWE STEENWEG,3399.59,325894.89,WILSELE WIJGMAAL
"75","4083","4083",24062B27-,"24062",B27-,WILSELE INDUSTRIEZONE,3477.26,369065.29,WILSELE WIJGMAAL
"76","4044","4044",24062A07-,"24062",A07-,LEUVEN VAART,2636.91,239697.76,LEUVEN NOORD
"77","4045","4045",24062A10-,"24062",A10-,LEUVEN DIESTSE STRAAT,2065.71,41630.34,LEUVEN CENTRUM
"78","4046","4046",24062A11-,"24062",A11-,VITAL DECOSTER,1274.32,93509.35,LEUVEN NOORD
"79","4048","4048",24062A13-,"24062",A13-,VAN MONSSTRAAT,1808.93,164613.78,LEUVEN NOORD
"80","4153","4153",24062F40-,"24062",F40-,WIJGMAAL-KERN,5076.43,995066.05,WILSELE WIJGMAAL
"81","4154","4154",24062F412,"24062",F412,WIJVELD,3822.99,369887.91,WILSELE WIJGMAAL
"82","4155","4155",24062F491,"24062",F491,DRIES,11184.94,3229540.98,WILSELE WIJGMAAL
"83","4095","4095",24062C03-,"24062",C03-,JEUGDSQUARE,1365.86,105654.5,KESSEL-LO NOORD
"84","4099","4099",24062C10-,"24062",C10-,HEFFEL,1813.94,124010.39,KESSEL-LO NOORD
"85","4104","4104",24062C2MA,"24062",C2MA,ZAVELSTRAAT,3074.17,399853.39,KESSEL-LO ZUID
"86","4108","4108",24062C40-,"24062",C40-,KLEIN RIJSEL,1758.01,125020.89,KESSEL-LO ZUID
"87","4110","4110",24062C42-,"24062",C42-,PASTEURWIJK,1527.22,135256,KESSEL-LO ZUID
"88","4115","4115",24062C52-,"24062",C52-,BRUINE VELD,3016.65,450396.75,KESSEL-LO NOORD
"89","4121","4121",24062D00-,"24062",D00-,HEVERLEE-CENTRUM,1549.15,128288.67,HEVERLEE OOST
"90","4123","4123",24062D02-,"24062",D02-,HEVERLEE NAAMSE POORT,1678.92,128651.87,HEVERLEE OOST
"91","4092","4092",24062C00-,"24062",C00-,BLAUWPUT-CENTRUM,2126.3,184409.3,KESSEL-LO NOORD
"92","4094","4094",24062C02-,"24062",C02-,KESSEL-LO SPORTSTADION,2593.32,261505.62,KESSEL-LO ZUID
"93","4116","4116",24062C58-,"24062",C58-,DIJLEDREEF,1844.74,106485.14,KESSEL-LO NOORD
"94","4117","4117",24062C59-,"24062",C59-,BARREEL,1943.4,184031.4,KESSEL-LO NOORD
"95","4119","4119",24062C63-,"24062",C63-,PLEIN,3479.78,383696.48,KESSEL-LO NOORD
"96","4120","4120",24062C68-,"24062",C68-,SCHOOLBERGEN,5460.24,1341385.95,KESSEL-LO NOORD
"97","4122","4122",24062D01-,"24062",D01-,HEVERLEE - DREEF,3428.81,162803.44,HEVERLEE WEST
"98","4124","4124",24062D03-,"24062",D03-,HEVERLEE STATION,2915.66,486626.17,HEVERLEE OOST
"99","4040","4040",24062A02-,"24062",A02-,LEUVEN STADSPARK,1428.75,99426.57,LEUVEN CENTRUM
"100","4043","4043",24062A05-,"24062",A05-,LEUVEN MECHELSE STRAAT,1542.57,113338.96,LEUVEN NOORD
"101","4140","4140",24062D60-,"24062",D60-,TERBANK,2853.59,323216.94,HEVERLEE WEST
"102","4142","4142","24062D622","24062",D622,VOGELZANG,5206.95,817630.08,HEVERLEE WEST
"103","4143","4143","24062D633","24062",D633,GASTHUISBERG,2961.87,379698.62,HEVERLEE WEST
"104","4144","4144","24062D644","24062",D644,IJZERMOLEN,3992,875851.79,HEVERLEE WEST
"105","4147","4147","24062E710","24062",E710,SPAANSE KROON,2129.7,237789.61,HEVERLEE OOST
"106","4149","4149","24062E732","24062",E732,DE MOL,3321.13,578651.15,HEVERLEE OOST
"107","4038","4038",24062A00-,"24062",A00-,LEUVEN-CENTRUM,1823.32,107402.06,LEUVEN CENTRUM
"108","4039","4039",24062A01-,"24062",A01-,LEI - VISMARKT,1656.09,126510.91,LEUVEN CENTRUM
"109","4041","4041",24062A03-,"24062",A03-,DAMIAANPLEIN,1995.1,136746.03,LEUVEN ZUID
"110","4042","4042",24062A04-,"24062",A04-,LEUVEN KLINIEK -O.L.VROUW-KERK,1570.95,118829.29,LEUVEN ZUID
"111","4047","4047",24062A12-,"24062",A12-,SINT-MAARTENSDAL,1048.43,56796.61,LEUVEN NOORD
"112","4049","4049",24062A14-,"24062",A14-,LEUVEN DIESTSEVEST,1312.9,66508.4,LEUVEN CENTRUM
"113","4053","4053",24062A21-,"24062",A21-,LEPELSTRAAT,1172.59,30522.1,LEUVEN CENTRUM
"114","4054","4054",24062A22-,"24062",A22-,MARIA-THERESIASTRAAT,1171.38,62668.69,LEUVEN ZUID
"115","4057","4057",24062A31-,"24062",A31-,BLIJDE INKOMSTSTRAAT,1300.27,53905.85,LEUVEN ZUID
"116","4060","4060",24062A34-,"24062",A34-,CENTRALE GEVANGENIS,861.61,46177.94,LEUVEN ZUID
"117","4063","4063",24062A40-,"24062",A40-,SINT-KWINTENS,1472.64,84077.25,LEUVEN ZUID
"118","4066","4066",24062A43-,"24062",A43-,GROOT BEGIJNHOF,805.46,34863.19,LEUVEN ZUID
